Ano;Veículo;Título;Autores;Número;Volume;Local;Página Inicial;Página Final
2016;CPaF;Digitized client-driven neural-net;5733915403480717, 6500904172504479;33;45;South Matthew;432;745
2016;R;Programmable incremental productivity;9509112926721790;21;36;West Charlene;373;839
2013;BRaF;Persistent multimedia pricing structure;8284566835175728, 9128272560262673, 9328126453256599;45;14;;524;694
2013;BGaW;Switchable bandwidth-monitored knowledgebase;9509112926721790;6;21;Michellemouth;533;837
2013;LPaR;Versatile foreground moderator;1187642780858159, 6500904172504479;42;5;;838;979
2013;MDaV;Progressive regional forecast;6500904172504479, 1187642780858159;14;28;North Lisa;707;806
2016;R;Ameliorated actuating frame;9328126453256599;9;17;Meganfurt;624;975
2016;JL;Programmable system-worthy help-desk;6500904172504479, 9328126453256599, 9128272560262673;25;24;South Paula;121;729
2013;PaS;Cloned interactive interface;5733915403480717, 8927515935343550, 3755576860587027;18;6;New Brycestad;691;867
2013;TCaG;De-engineered bottom-line circuit;8927515935343550;1;32;;449;692
2016;TCaG;Assimilated zero administration task-force;9128272560262673, 1187642780858159, 9509112926721790;47;41;;440;995
2013;BRaF;Reactive hybrid alliance;1187642780858159, 3755576860587027, 5733915403480717;17;21;;13;826
2015;MDaV;Digitized needs-based capability;1187642780858159, 8284566835175728;14;6;Port Edwinville;113;530
2015;TCaG;Devolved discrete emulation;1187642780858159;42;5;;271;458
2013;ML;Enterprise-wide intangible moratorium;3755576860587027, 9328126453256599, 8284566835175728;27;32;New Jacob;61;414
2014;MP;Secured tertiary budgetary management;8927515935343550;17;40;Kristenmouth;169;998
2016;FL;Reactive reciprocal budgetary management;9328126453256599;45;50;Danielburgh;118;255
2016;BGaW;Right-sized responsive emulation;9328126453256599, 1187642780858159;46;44;Lake Mark;555;810
2013;SMaG;Fundamental context-sensitive matrix;8927515935343550;5;34;;343;361
2013;ML;Public-key real-time circuit;1187642780858159, 9128272560262673;47;28;Swansonside;489;728
2016;R;Vision-oriented foreground encryption;5733915403480717, 9509112926721790;19;9;North Darrell;116;811
2013;LPaR;Progressive regional standardization;8927515935343550, 8284566835175728;44;15;;577;651
2013;A;Grass-roots holistic capacity;8284566835175728, 3755576860587027, 9128272560262673;24;8;;669;860
2014;R;Sharable non-volatile matrix;8284566835175728;46;2;Brandonbury;100;843
2013;R;Object-based heuristic data-warehouse;9509112926721790, 3755576860587027, 6500904172504479;41;1;South Derrick;160;706
2015;MDaV;Universal optimal model;5545238408013562, 8927515935343550;8;4;West Williamfurt;550;900
2016;BRaF;Stand-alone object-oriented solution;5545238408013562;21;16;;343;870
2014;MP;Polarized well-modulated software;9328126453256599, 5733915403480717;16;40;North Brandon;196;227
2013;BRaF;Seamless hybrid moratorium;5545238408013562, 5733915403480717, 1187642780858159;44;28;;505;849
2015;S;Expanded multi-tasking core;8927515935343550;20;28;Priceborough;617;674
