Sigla;Nome;Tipo;Impacto;ISSN
J;Johnston-Smith;C;4,15;
JL;Jennings LLC;C;0;
MDaV;Matthews, Daugherty and Vargas;C;0;
MP;Moore PLC;C;0;
PaS;Page and Sons;C;0;
S;Simmons-Mills;C;15,31;
HCaC;Hicks, Calderon and Carter;C;0;
TYaC;Tanner, Young and Chang;P;23,36;9873-877X
LPaR;Lewis, Phillips and Roberts;P;0;7527-213X
ML;Martin LLC;C;0;
FL;Fleming Ltd;C;8,45;
BL;Brown Ltd;C;10,22;
A;Ayala-Johnson;P;0;3076-2420
BRaF;Barr, Reynolds and Flores;P;0;1594-4092
BGaW;Barnes, Gibbs and Williams;C;0;
PGaH;Paul, Gardner and Higgins;P;24,27;2476-889X
TCaG;Tran, Caldwell and Giles;P;0;1313-1323
SMaG;Sellers, Murray and Garcia;P;0;4142-781X
R;Reed-Long;C;0;
CPaF;Clark, Porter and Foster;C;0,6;
